file,M,R,D,kT_comb_eV,kT_comb_sigma_eV,logT_g1,logTlo_g1,logThi_g1,kT_g1_eV,kTlo_g1_eV,kThi_g1_eV,logT_g2,logTlo_g2,logThi_g2,kT_g2_eV,kTlo_g2_eV,kThi_g2_eV,logT_g3,logTlo_g3,logThi_g3,kT_g3_eV,kTlo_g3_eV,kThi_g3_eV,logT_g4,logTlo_g4,logThi_g4,kT_g4_eV,kTlo_g4_eV,kThi_g4_eV,logT_g5,logTlo_g5,logThi_g5,kT_g5_eV,kTlo_g5_eV,kThi_g5_eV
M12_R10_D56.txt,1.2,10.0,5.6,148.9207262499015,0.9307537360210351,6.27002,6.26359,6.27568,160.46964392511603,158.1112925211626,162.57467292057666,6.2658,6.26035,6.27098,158.9179261425122,156.9361119711469,160.82475146946442,6.23893,6.23263,6.24486,149.3835888660679,147.23222963186984,151.43731081568146,6.21065,6.20356,6.21718,139.96610879785575,137.6996666622961,142.08652371052415,6.19926,6.19282,6.20544,136.3430135759643,134.33614735077282,138.2970412805438
M12_R12_D56.txt,1.2,12.0,5.6,136.42597526091225,0.8385892826710596,6.23119,6.22473,6.23678,146.7448568533286,144.57822512152683,148.64588428389854,6.22748,6.222,6.23258,145.49661480603405,143.6722486069307,147.21527987073705,6.20054,6.19444,6.2064,136.74545131878006,134.83818217550387,138.60308248259634,6.17417,6.16736,6.18034,128.6894334550907,126.68724414217843,130.53076669873317,6.16318,6.1566,6.16907,125.47375320910933,123.58702811766386,127.187048419584
M12_R14_D56.txt,1.2,14.0,5.6,127.7975022659726,0.7795053035072868,6.20125,6.19474,6.20677,136.96919046408365,134.9313572698095,138.72121659289127,6.19807,6.19266,6.203,135.96993468688498,134.2866652006269,137.522224576153,6.17195,6.16568,6.17754,128.03328512946737,126.19812109145019,129.69191080314485,6.14624,6.13945,6.1524,120.67377224691971,118.8017639243898,122.39759627643693,6.13503,6.12835,6.14088,117.59879967364576,115.80382088352363,119.19358682136553
M12_R16_D56.txt,1.2,16.0,5.6,121.29402313983209,0.7348314891670163,6.17773,6.17119,6.1829,129.74866228186974,127.80942733256636,131.30246789184815,6.17494,6.16944,6.17968,128.91780098775013,127.29545242140705,130.33254894285324,6.14854,6.14214,6.15408,121.31454925629991,119.53990020455453,122.8719891213918,6.12357,6.11678,6.1297,114.53623128643697,112.75943443814839,116.16435595779097,6.11209,6.10534,6.1179,111.54828277279009,109.82795293553649,113.05060450130028
M14_R10_D56.txt,1.4,10.0,5.6,153.9238461223319,0.9642913709764275,6.28364,6.27721,6.28926,165.58191039273225,163.14842626892988,167.7385517209574,6.27961,6.27416,6.28476,164.05251357590956,162.00666762168237,166.0094798954185,6.25277,6.24646,6.25868,154.22077773341886,151.9962554686273,156.33380163463465,6.22476,6.21769,6.23126,144.58821257645533,142.25347653804636,146.76851123598593,6.21333,6.20656,6.21951,140.83250005425802,138.6541551526027,142.85086974987757
M14_R12_D56.txt,1.4,12.0,5.6,139.55272348360532,0.8600865261256769,6.24119,6.23472,6.24678,150.1629836712535,147.94247806258255,152.10829171908918,6.23757,6.23208,6.24266,148.91652350121004,147.04588954391207,150.6721165217726,6.21059,6.20423,6.21645,139.94677310101048,137.91226429456066,141.84789291509423,6.18402,6.17723,6.19014,131.64152021202517,129.59936957034978,133.50972118182295,6.17307,6.16651,6.17893,128.3638956890403,126.43953469352817,130.10766683931382
M14_R14_D56.txt,1.4,14.0,5.6,130.01869480137472,0.7946055405293069,6.209,6.20253,6.21452,139.43534928959792,137.37347646598397,141.2189210140646,6.2058,6.2003,6.21081,138.41172746145782,136.6699038661774,140.01768371782657,6.17954,6.17329,6.18512,130.29054146421672,128.42893729606342,131.9753702107282,6.15401,6.14723,6.16014,122.85218609263542,120.9491690321078,124.59852149114333,6.14284,6.13616,6.14865,119.73273112072542,117.90518089537025,121.3452802259676
M14_R16_D56.txt,1.4,16.0,5.6,123.03735171825868,0.7437511142196448,6.18381,6.17727,6.18895,131.57788128090834,129.61130666312224,133.14439510347503,6.18104,6.17555,6.18577,130.7413270830732,129.09900318030083,132.173043038401,6.15471,6.14832,6.16023,123.05036008773916,121.25311066305882,124.6243450496308,6.12984,6.12307,6.13596,116.20180895818828,114.40444245535947,117.85089605349297,6.11839,6.11165,6.12419,113.17822771624581,111.43532626094056,114.69986029689588
M16_R10_D56.txt,1.6,10.0,5.6,159.6481978284833,0.995313648835502,6.29909,6.29266,6.30466,171.57850876480194,169.05689528616458,173.79324366483795,6.29528,6.28983,6.30037,170.0798597035047,167.9588486608489,172.08494958616848,6.26852,6.2622,6.27437,159.91635745205994,157.6060515476749,162.08502373336978,6.24088,6.23386,6.24734,150.0558353723113,147.64980880907655,152.30455390642277,6.22947,6.2227,6.23561,146.1648310578362,143.9040076370102,148.24596755569152
M16_R12_D56.txt,1.6,12.0,5.6,143.18113671548542,0.8805361031655539,6.25239,6.24591,6.25795,154.08589629520338,151.8038859332067,156.0712428890026,6.24889,6.24339,6.25395,152.84910107759978,150.92559231387494,154.64037313354183,6.22192,6.21554,6.22775,143.64578563810133,141.55098276166663,145.58709788050194,6.19509,6.18831,6.20121,135.0401429255012,132.9483307728909,136.95657571637662,6.18416,6.17762,6.18997,131.68396326495778,129.71580313648246,133.45747043505241
